SwanLab 初始化失败，继续使用本地日志：api key not configured (no-tty), call `swanlab.login(api_key=[your_api_key])` or set `swanlab.init(mode="local")`.
Epoch 21: train_loss=1.5388, val_loss=1.5664, val_mIoU=0.4142
Epoch 22: train_loss=1.5219, val_loss=1.6420, val_mIoU=0.3937
Epoch 23: train_loss=1.5258, val_loss=1.6706, val_mIoU=0.3907
Epoch 24: train_loss=1.5133, val_loss=1.6608, val_mIoU=0.3931
Epoch 25: train_loss=1.4927, val_loss=1.5406, val_mIoU=0.4142
Epoch 26: train_loss=1.4982, val_loss=1.6117, val_mIoU=0.4032
Epoch 27: train_loss=1.4643, val_loss=1.5531, val_mIoU=0.4106
Epoch 28: train_loss=1.4726, val_loss=1.6560, val_mIoU=0.4083
Epoch 29: train_loss=1.4879, val_loss=1.6329, val_mIoU=0.3976
Epoch 30: train_loss=1.4714, val_loss=1.6515, val_mIoU=0.4034
Epoch 31: train_loss=1.4704, val_loss=1.6250, val_mIoU=0.4057
Epoch 32: train_loss=1.4658, val_loss=1.6116, val_mIoU=0.4090
Epoch 33: train_loss=1.4362, val_loss=1.5816, val_mIoU=0.4121
Epoch 34: train_loss=1.4456, val_loss=1.8109, val_mIoU=0.3604
Epoch 35: train_loss=1.4200, val_loss=1.5608, val_mIoU=0.4232
Epoch 36: train_loss=1.4309, val_loss=1.5326, val_mIoU=0.4201
Epoch 37: train_loss=1.4303, val_loss=1.5670, val_mIoU=0.4112
Epoch 38: train_loss=1.4376, val_loss=1.5463, val_mIoU=0.4206
Epoch 39: train_loss=1.4213, val_loss=1.5992, val_mIoU=0.4154
Epoch 40: train_loss=1.4139, val_loss=1.6842, val_mIoU=0.3959
